哀江頭	ai[wk jl[dg tz[dd
生涯豈料承優詔	ug[pf ya[di qi[uk ln[md ig[lu yz[ry vc[yd
聲以動容	ug[um yi[sr ds[el rs[xr
勝因夙所宗	ug[op yb[wd su[jh so[pj zs[ge
生長明妃尚有村	ug[pf vh[ph mk[oo fw[nk uh[xk yz[uo cy[ac
聲之寂寞	ug[um vi[dv ji[gu mo[gc
省中啼鳥吏人稀	ug[xm vs[ku ti[kl nn[nh li[hk rf[pd xi[hi
聖主朝朝暮暮情	ug[yt vu[dw vc[uo vc[uo mu[co mu[co qk[xf
勢拔五嶽掩赤城	ui[fl ba[fu wu[hu yt[qu yj[fd ii[ty ig[tw
侍婢賣珠回	ui[rt bi[nb md[ud vu[wp hv[wk
使臣將王命	ui[rh if[ku jl[dx wh[su mk[rh
侍兒扶起嬌無力	ui[rt er[pv fu[fe qi[zk jn[np wu[ee li[vp
十二樓中盡曉妝	ui[hu er[hh lz[am vs[ku jb[ud xn[oq vl[dn
是法廳事也	ui[op fa[dt tk[id ui[hk ye[vu
使舫載之	ui[rh fh[vf zd[ti vi[dv
勢分三足鼎	ui[fl ff[bd sj[hh zu[kv dk[mv
試拂鐵衣如雪色	ui[yq fu[ff tp[jp yi[wy ru[nk xt[yx se[db
石鼓歌	ui[ek gu[uu ge[kd
事姑貽我憂	ui[hk gu[ng yi[bs wo[pf yz[xy
石鼓之歌止於此	ui[ek gu[uu vi[dv ge[kd vi[uh yu[eu ci[vb
十鼓只載數駱駝	ui[hu gu[uu vi[kb zd[ti uu[mw lo[mw to[mg
示官吏	ui[ex gr[gu li[hk
石磯西畔問漁船	ui[ek ji[ej xi[hk pj[tb wf[mk yu[dy ir[vj
時見歸村人	ui[oc jm[ke gv[ux cy[ac rf[pd
時見松櫪皆十圍	ui[oc jm[ke ss[ab li[ai jp[bb ui[hu ww[ww
世間行樂亦如此	ui[nv jm[mo xk[rh le[px yi[wy ru[nk ci[vb
誓將報主靜邊塵	ui[fy jl[dx bc[fe vu[dw jk[fd bm[lz if[xt
誓將掛冠去	ui[fy jl[dx gx[ft gr[ge qu[ts
誓將上雪列聖恥	ui[fy jl[dx uh[bh xt[yx lp[hd ug[yt ii[ev
世界微塵裡	ui[nv jp[tr ww[ru if[xt li[ot
始覺屏障生光輝	ui[ns jt[xj pk[ub vh[el ug[pf gl[xe hv[xg
始覺有遷謫意	ui[ns jt[xj yz[uo qm[qz ve[yl yi[lx
使快彈數曲	ui[rh kk[xv dj[gb uu[mw qu[ou
石廩騰擲堆祝融	ui[ek lb[gw tg[ob vi[fb dv[tv vu[uk rs[hi
誓令疏勒出飛泉	ui[fy lk[rd uu[pw le[gl iu[ck fw[vp qr[bu
十六君遠行	ui[hu lq[wb jy[xk yr[ez xk[rh
世亂同南去	ui[nv lr[qv ts[kh nj[uk qu[ts
時難年荒世業空	ui[oc nj[yv nm[rn hl[cw ui[nv ye[ub ks[xg
十年離亂後	ui[hu nm[rn li[wk lr[qv hz[pk
十年征戍憶遼陽	ui[hu nm[rn vg[rh uu[wd yi[xv ln[lz yh[eo
侍女金盤膾鯉魚	ui[rt nv[vp jb[rw pj[vm kk[or li[yo yu[dt
是妾斷腸時	ui[op qp[ln dr[mj ih[ov ui[oc
時清獨北還	ui[oc qk[df du[qi bw[ub hd[bz
世情惡衰歇	ui[nv qk[xf ee[hx uk[wk xp[od
時取一醉	ui[oc qu[ey yi[hh zv[yw
世人解聽不解賞	ui[nv rf[pd jp[dd tk[kj bu[eu jp[dd uh[xk
使人聽此凋朱顏	ui[rh rf[pd tk[kj ci[vb dn[dk vu[ph yj[ly
時人已知處	ui[oc rf[pd yi[kv vi[uk iu[wb
是日牽來赤墀下	ui[op ri[wh qm[dg ld[hm ii[ty ii[tu xx[hb
十三學得琵琶成	ui[hu sj[hh xt[xz de[ro pi[wb pa[wb ig[wv
世上未有如公貧	ui[nv uh[bh ww[ha yz[uo ru[nk gs[bs pb[fb
十觴亦不醉	ui[hu uh[dr yi[wy bu[eu zv[yw
十生九死到官所	ui[hu ug[pf jq[pv si[hx dc[hd gr[gu so[pj
世事波上舟	ui[nv ui[hk bo[dp uh[bh vz[pk
世事蹉跎成白首	ui[nv ui[hk co[zy to[zg ig[wv bd[po uz[be
世事空知學醉歌	ui[nv ui[hk ks[xg vi[uk xt[xz zv[yw ge[kd
世事兩茫茫	ui[nv ui[hk ll[hk mh[cd mh[cd
世事茫茫難自料	ui[nv ui[hk mh[cd mh[cd nj[yv zi[pm ln[md
時時誤拂弦	ui[oc ui[oc wu[yk fu[ff xm[gw
始是新承恩澤時	ui[ns ui[op xb[lj ig[lu en[wx ze[dy ui[oc
十四萬眾猶虎貔	ui[hu si[we wj[hv vs[rr yz[qy hu[hj pi[pp
十四為君婦	ui[hu si[we ww[dl jy[xk fu[nx
使我不得開心顏	ui[rh wo[pf bu[eu de[ro kd[hc xb[dv yj[ly
使我三軍淚如雨	ui[rh wo[pf sj[hh jy[gi lw[dm ru[nk yu[hk
十五始展眉	ui[hu wu[hu ui[ns vj[ug mw[mm
是夕	ui[op xi[xd
失向來之煙霞	ui[pe xl[pk ld[hm vi[dv yj[hw xx[yk
是夜越吟苦	ui[op ye[wr yt[zh yb[kr ku[cg
是以陷鄰境	ui[op yi[sr xm[ed lb[re jk[tl
時有落花至	ui[oc yz[uo lo[cd hx[cr vi[ht
石魚湖	ui[ek yu[dt hu[dg
石魚湖上醉歌並序	ui[ek yu[dt hu[dg uh[bh zv[yw ge[kd bk[bk xu[gy
始與秦塞通人煙	ui[ns yu[hv qb[sh sd[gt ts[sz rf[pd yj[hw
世中遙望空雲山	ui[nv vs[ku yc[az wh[ww ks[xg yy[es uj[uk
手把芙蓉朝玉京	uz[su ba[fb fu[ce rs[cx ic[uo yu[wd jk[wk
手持杯珓導我擲	uz[su ii[ft bw[ab jn[[ dc[kc wo[pf vi[fb
手持綠玉杖	uz[su ii[ft lv[sx yu[wd vh[ah
受降城外月如霜	uz[ay xl[ew ig[tw wd[xb yt[ke ru[nk ul[ya
書被催成墨未濃	uu[vv bw[yp cv[ru ig[wv mo[ht ww[ha ns[dg
書邊事	uu[vv bm[lz ui[hk
數嘗於	uu[mw ih[xe yu[fr
數叢沙草群鷗散	uu[mw cs[rh ua[dx cc[co qy[xy ou[kn sj[gw
蜀道難	uu[sb dc[bz nj[yv
蜀道之難難於上青天	uu[sb dc[bz vi[dv nj[yv nj[yv yu[eu uh[bh qk[fo tm[hd
輸肝剖膽效英才	uu[ir gj[og pz[ld dj[oo xn[lw yk[ck cd[hu
戍鼓斷人行	uu[wd gu[uu dr[mj rf[pd xk[rh
蔬果幸見嘗	uu[cp go[oa xk[tb jm[ke ih[xe
蜀江水碧蜀山青	uu[sb jl[dg uv[uu bi[we uu[sb uj[uk qk[fo
戍客望邊色	uu[wd ke[gw wh[ww bm[lz se[db
數裡入雲峰	uu[mw li[ot ru[pd yy[es fg[uw
疏糲亦足飽我飢	uu[pw li[mi yi[wy zu[kv bc[ub wo[pf ji[uj
戍樓西望煙塵黑	uu[wd lz[am xi[hk wh[ww yj[hw if[xt hw[sd
樹杪百重泉	uu[ay mn[ax bd[eo vs[ph qr[bu
樹木猶為人愛惜	uu[ay mu[ub yz[qy ww[dl rf[pd ai[au xi[xg
淑氣催黃鳥	uu[du qi[rh cv[ru hl[gy nn[nh
蜀琴欲奏鴛鴦弦	uu[sb qb[wr yu[bd zz[st yr[xn yh[kn xm[gw
庶情沿物應	uu[gn qk[xf yj[dj wu[nb yk[gx
樹色隨山迥	uu[ay se[db sv[eu uj[uk js[kz
蜀僧抱綠綺	uu[sb sg[rb bc[fb lv[sx qi[sd
疏鬆影落空壇靜	uu[pw ss[ab yk[op lo[cd ks[xg tj[te jk[fd
數歲親戎旃	uu[mw sv[ux qb[la rs[gu vj[fr
數問夜如何	uu[mw wf[mk ye[wr ru[nk he[rk
蜀先主廟	uu[sb xm[ne vu[dw mn[gy
蜀相	uu[sb xl[am
疏雨過中條	uu[pw yu[hk go[cz vs[ku tn[wa
孰雲網恢恢	uu[wj yy[es wh[ki hv[xu hv[xu
孰雲吾道非	uu[wj yy[es wu[wk dc[bz fw[su
數紙尚可博白鵝	uu[mw vi[su uh[xk ke[dk bo[uf bd[po ee[pn
樹之微風	uu[ay vi[dv ww[ru fg[ji
蜀主徵吳幸三峽	uu[sb vu[dw vg[rh wu[kt xk[tb sj[hh xx[uj
雙飛西園草	ul[yy fw[vp xi[hk yr[we cc[co
雙淚落君前	ul[yy lw[dm lo[cd jy[xk qm[bo
雙皮溜雨四十圍	ul[yy pi[vp lq[dp yu[hk si[we ui[hu ww[ww
霜悽萬樹風入衣	ul[ya qi[dh wj[hv uu[ay fg[ji ru[pd yi[wy
霜蹄蹴踏長楸間	ul[ya ti[zl cu[zw ta[zu ih[ph qq[ah jm[mo
雙袖龍鍾淚不幹	ul[yy xq[yy ls[yp vs[jv lw[dm bu[eu gj[hu
雙照淚痕幹	ul[yy vc[od lw[dm hf[bg gj[hu
誰愛風流高格調	uv[yv ai[au fg[ji lq[dw gc[wk ge[aw dn[yk
水澹澹兮生煙	uv[uu dj[dd dj[dd xi[bk ug[pf yj[hw
水滴銅龍晝漏長	uv[uu di[dl ts[jk ls[yp vz[uo lz[du ih[ph
誰復著手為摩挲	uv[yv fu[ro vu[ct uz[su ww[dl ma[gf sa[df
水寒風似刀	uv[uu hj[gd fg[ji si[rs dc[vp
誰見汀洲上	uv[yv jm[ke tk[dd vz[dd uh[bh
誰解乘舟尋范蠡	uv[yv jp[dd ig[qb vz[pk xy[xc fj[cd li[vi
水晶簾卷近秋河	uv[uu jk[oo lm[xj jr[be jb[jz qq[hh he[dk
水精之盤行素鱗	uv[uu jk[mf vi[dv pj[vm xk[rh su[fy lb[ym
誰憐越女顏如玉	uv[yv lm[xr yt[zh nv[vp yj[ly ru[nk yu[wd
水落魚梁淺	uv[uu lo[cd yu[dt ll[da qm[dj
誰能將旗鼓	uv[yv ng[sb jl[dx qi[fr gu[uu
誰能絕人命	uv[yv ng[sb jt[sd rf[pd mk[rh
水泉冷澀弦凝絕	uv[uu qr[bu lg[dr se[dd xm[gw nk[db jt[sd
水深波浪闊	uv[uu uf[dg bo[dp lh[dl ko[md
水聲激激風吹衣	uv[uu ug[um ji[db ji[db fg[ji iv[kd yi[wy
誰為表予心	uv[yv ww[dl bn[fy yu[sv xb[dv
誰為含愁獨不見	uv[yv ww[dl hj[rk iz[hx du[qi bu[eu jm[ke
水為沼	uv[uu ww[dl vc[dd
誰言寸草心	uv[yv yj[we cy[hu cc[co xb[dv
水月通禪寂	uv[uu yt[ke ts[sz ij[ub ji[gu
誰知林棲者	uv[yv vi[uk lb[aa qi[ax ve[to
順陰陽之數	uy[iy yb[eo yh[eo vi[dv uu[mw
朔方健兒好身手	uo[no fh[dw jm[ry er[pv hc[nz uf[pu uz[su
說盡心中無限事	uo[yb jb[ud xb[dv vs[ku wu[ee xm[eg ui[hk
愬武古通作牙爪	uo[[ wu[hv gu[uk ts[sz zo[rv ya[hv vc[pu
四邊伐鼓雪海湧	si[we bm[lz fa[rg gu[uu xt[yx hd[dr ys[ds
死別已吞聲	si[hx bp[kd yi[kv ty[tk ug[um
似洞庭	si[rs ds[dk tk[gq
四方環鎮嵩當中	si[we fh[dw hr[wb vf[ju ss[uw dh[xx vs[ku
思歸多苦顏	si[tx gv[ux do[xx ku[cg yj[ly
嗣皇繼聖登夔皋	si[kv hl[bw ji[sm ug[yt dg[dd kv[bb gc[bd
四角礙白日	si[we jn[do ai[eo bd[po ri[wh
四郊秋葉驚摵摵	si[we jn[le qq[hh ye[ku jk[xw se[[ se[[
死節從來豈顧勳	si[hx jp[ce cs[rr ld[hm qi[uk gu[iy xy[kl
司空曙	si[vh ks[xg uu[os
嘶馬出門思故鄉	si[kq ma[vv iu[ck mf[du si[tx gu[gw xl[sp
斯人不可聞	si[qj rf[pd bu[eu ke[dk wf[me
斯人獨憔悴	si[qj rf[pd du[qi qn[xv cv[xw
死生長別離	si[hx ug[pf vh[ph bp[kd li[wk
似訴平生不得志	si[rs su[yj pk[hb ug[pf bu[eu de[ro vi[ux
嘶酸雛雁失群夜	si[kq sr[ys iu[dv yj[ir ui[pe qy[xy ye[wr
似聞昨者赤松子	si[rs wf[me zo[ov ve[to ii[ty ss[ab zi[lh
四弦一聲如裂帛	si[we xm[gw yi[hh ug[um ru[nk lp[hy bo[bj
斯須九重真龍出	si[qj xu[py jq[pv is[ph vf[uj ls[yp iu[ck
思欲委符節	si[tx yu[bd ww[hn fu[vr jp[ce
四月南風大麥黃	si[we yt[ke nj[uk fg[ji da[hr md[fw hl[gy
四座無言星欲稀	si[we zo[gr wu[ee yj[we xk[op yu[bd xi[hi
松柏一逕趨靈宮	ss[ab bd[ab yi[hh jk[sz qu[zd lk[xh gs[gk
送別	ss[bz bp[kd
送陳章甫	ss[bz if[eq vh[lo fu[uo
送崔九	ss[bz cv[uv jq[pv
送杜少府之任蜀州	ss[bz du[at uc[xp fu[gr vi[dv rf[rq uu[sb vz[dp
松風吹解帶	ss[ab fg[ji iv[kd jp[dd dd[cj
松際露微月	ss[ab ji[ee lu[yz ww[ru yt[ke
送客湓浦口	ss[bz ke[gw pf[df pu[df kz[uv
送李少府貶峽中王少府貶長沙	ss[bz li[az uc[xp fu[gr bm[bp xx[uj vs[ku wh[su uc[xp fu[gr bm[bp ih[ph ua[dx
送李中丞歸漢陽別業	ss[bz li[az vs[ku ig[lh gv[ux hj[dy yh[eo bp[kd ye[ub
送靈澈	ss[bz lk[xh ie[dw
送孟浩然之廣陵	ss[bz mg[zm hc[dn rj[xd vi[dv gl[di lk[et
送人東遊	ss[bz rf[pd ds[qx yz[df
送僧歸日本	ss[bz sg[rb gv[ux ri[wh bf[ah
送上人	ss[bz uh[bh rf[pd
松聲晚窗裡	ss[ab ug[um wj[od il[xp li[ot
訟斯在	ss[yb si[qj zd[ut
送魏萬之京	ss[bz ww[hg wj[hv vi[dv jk[wk
送我至剡溪	ss[bz wo[pf vi[ht uj[hd xi[da
松下清齋折露葵	ss[ab xx[hb qk[df vd[we ve[fj lu[yz kv[cd
松下問童子	ss[ab xx[hb wf[mk ts[lo zi[lh
送楊氏女	ss[bz yh[av ui[pq nv[vp
送友人	ss[bz yz[uy rf[pd
松月生夜涼	ss[ab yt[ke ug[pf ye[wr ll[dw
松月夜窗墟	ss[ab yt[ke ye[wr il[xp xu[th
宋之問	ss[ga vi[dv wf[mk
送梓州李使君	ss[bz zi[al vz[dp li[az ui[rh jy[xk
搜於岐陽騁雄俊	sz[fj yu[eu qi[uu yh[eo ig[my xs[uv jy[rs
宿府	su[gr fu[gr
宿建德江	su[gr jm[yj de[ru jl[dg
素手抽針冷	su[fy uz[su iz[fy vf[ju lg[dr
素手青條上	su[fy uz[su qk[fo tn[wa uh[bh
素手玉房前	su[fy uz[su yu[wd fh[hf qm[bo
宿桐廬江寄廣陵舊遊	su[gr ts[ak lu[gh jl[dg ji[gd gl[di lk[et jq[uo yz[df
宿王昌齡隱居	su[gr wh[su ih[oo lk[vr yb[ed ju[ug
蘇武魂銷漢使前	su[cl wu[hv hy[eg xn[jx hj[dy ui[rh qm[bo
蘇武廟	su[cl wu[hv mn[gy
宿業師山房待丁大不至	su[gr ye[ub ui[uh uj[uk fh[hf dd[rt dk[hu da[hr bu[eu vi[ht
隨風滿地石亂走	sv[eu fg[ji mj[dc di[ty ui[ek lr[qv zz[tv
隋宮	sv[eu gs[gk
遂教方士殷勤覓	sv[bz jn[tw fh[dw ui[uh yb[pj qb[nl mi[aj
遂令東山客	sv[bz lk[rd ds[qx uj[uk ke[gw
遂令天下父母心	sv[bz lk[rd tm[hd xx[hb fu[bi mu[vv xb[dv
遂命酒	sv[bz mk[rh jq[dy
歲暮歸南山	sv[ux mu[co gv[ux nj[uk uj[uk
歲暮陰陽催短景	sv[ux mu[co yb[eo yh[eo cv[ru dr[ud jk[ow
隨山到水源	sv[eu uj[uk dc[hd uv[uu yr[di
隨山將萬轉	sv[eu uj[uk jl[dx wj[hv vr[ie
雖生意可知	sv[ki ug[pf yi[lx ke[dk vi[uk
歲時伏臘走村翁	sv[ux ui[oc fu[rq la[og zz[tv cy[ac wg[bx
歲歲金河復玉關	sv[ux sv[ux jb[rw he[dk fu[ro yu[wd gr[bt
雖無賓主意	sv[ki wu[ee bb[gq vu[dw yi[lx
睢盱偵伺能鞠躬	sv[mv xu[me vf[rb si[rv ng[sb ju[gb gs[ug
歲夜高堂列明燭	sv[ux ye[wr gc[wk th[xt lp[hd mk[oo vu[hi
隨意春芳歇	sv[eu yi[lx iy[so fh[cf xp[od
雖有絕頂誰能窮	sv[ki yz[uo jt[sd dk[dy uv[yv ng[sb qs[xl
所得是沾衣	so[pj de[ro ui[op vj[db yi[wy
所守或匪親	so[pj uz[gc ho[gk fw[kf qb[la
鎖銜金獸連環冷	so[jx xm[rj jb[rw uz[bh lm[iz hr[wb lg[dr
他年錦裡經祠廟	ta[ry nm[rn jb[jb li[ot jk[ss ci[uv mn[gy
榻上庭前屹相向	ta[ao uh[bh tk[gq qm[bo yi[ur xl[am xl[pk
他生緣會更難期	ta[ry ug[pf yr[sv hv[re gg[ho nj[yv qi[qo
塔勢如湧出	ta[tc ui[fl ru[nk ys[ds iu[ck
他鄉復行役	ta[ry xl[sp fu[ro xk[rh yi[rj
他鄉生白髮	ta[ry xl[sp ug[pf bd[po fa[vy
態濃意遠淑且真	td[dx ns[dg yi[lx yr[ez uu[du qp[ke vf[uj
苔色連深竹	td[cs se[db lm[iz uf[dg vu[rr
苔深不能掃	td[cs uf[dg bu[eu ng[sb sc[fx
太液芙蓉未央柳	td[dd ye[dw fu[ce rs[cx ww[ha yh[kd lq[ap
太乙近天都	td[dd yi[vv jb[jz tm[hd du[te
太真含笑入簾來	td[dd vf[uj hj[rk xn[vp ru[pd lm[xj ld[hm
嘆鳳嗟身否	tj[ky fg[jy jp[ky uf[pu fz[bk
彈劍作歌奏苦聲	tj[gb jm[rd zo[rv ge[kd zz[st ku[cg ug[um
彈琴	tj[gb qb[wr
彈琴復長嘯	tj[gb qb[wr fu[ro ih[ph xn[kx
嘆息未應閒	tj[ky xi[zx ww[ha yk[gx xm[ma
潭煙飛溶溶	tj[dx yj[hw fw[vp rs[dx rs[dx
潭影空人心	tj[dx yk[op ks[xg rf[pd xb[dv
湯盤孔鼎有述作	th[dv pj[vm ks[zv dk[mv yz[uo uu[az zo[rv
唐玄宗	th[gx xr[wy zs[ge
桃花盡日隨流水	tc[av hx[cr jb[ud ri[wh sv[eu lq[dw uv[uu
桃花溪	tc[av hx[cr xi[da
桃李陰陰柳絮飛	tc[av li[az yb[eo yb[eo lq[ap xu[ny fw[vp
陶然共忘機	tc[eb rj[xd gs[gb wh[wx ji[aj
陶然共醉菊花杯	tc[eb rj[xd gs[gb zv[yw ju[cb hx[cr bw[ab
桃源行	tc[av yr[di xk[rh
騰驤磊落三萬匹	tg[ob xl[mw lw[ee lo[cd sj[hh wj[hv pi[ke
題大庾嶺北驛	ti[oy da[hr yu[gj lk[ur bw[ub yi[my
題金陵渡	ti[oy jb[rw lk[et du[dg
剔開紅焰救飛蛾	ti[od kd[hc hs[sg yj[hd jq[hw fw[vp ee[ip
題破山寺後禪院	ti[oy po[ep uj[uk si[tc hz[pk ij[ub yr[eg
啼時驚妾夢	ti[kl ui[oc jk[xw qp[ln mg[ax
天邊樹若薺	tm[hd bm[lz uu[ay ro[cu ji[cw
天長地久有時盡	tm[hd ih[ph di[ty jq[xd yz[uo ui[oc jb[ud
天長路遠魂飛苦	tm[hd ih[ph lu[zw yr[ez hy[eg fw[vp ku[cg
天地為之久低昂	tm[hd di[ty ww[dl vi[dv jq[xd di[ru ah[op
天地一沙鷗	tm[hd di[ty yi[hh ua[dx ou[kn
天地英雄氣	tm[hd di[ty yk[ck xs[uv qi[rh
田夫荷鋤立	tm[wu fu[er he[cr iu[jq li[lh
天寒翠袖薄	tm[hd hj[gd cv[xw xq[yy bo[cd
天寒夢澤深	tm[hd hj[gd mg[ax ze[dy uf[dg
天假神柄專其雄	tm[hd jx[rk uf[uo bk[ah vr[ev qi[cb xs[uv
添酒回燈重開宴	tm[dt jq[dy hv[wk dg[hd is[ph kd[hc yj[go
天路幽險難追攀	tm[hd lu[zw yz[yy xm[er nj[yv vv[pz pj[ad
天明獨去無道路	tm[hd mk[oo du[qi qu[ts wu[ee dc[bz lu[zw
天末懷李白	tm[hd mo[ha hk[xb li[az bd[po
天姥連天向天橫	tm[hd mu[nt lm[iz tm[hd xl[pk tm[hd hg[ag
天畔獨潸然	tm[hd pj[tb du[qi uj[da rj[xd
天氣晚來秋	tm[hd qi[rh wj[od ld[hm qq[hh
天秋月又滿	tm[hd qq[hh yt[ke yz[vd mj[dc
天上人間會相見	tm[hd uh[bh rf[pd jm[mo hv[re xl[am jm[ke
天生麗質難自棄	tm[hd ug[pf li[hk vi[pu nj[yv zi[pm qi[wc
天生我材必有用	tm[hd ug[pf wo[pf cd[ac bi[xp yz[uo ys[ou
天台四萬八千丈	tm[hd td[sk si[we wj[hv ba[pd qm[pu vh[hi
天外三峰削不成	tm[hd wd[xb sj[hh fg[uw xt[xd bu[eu ig[wv
天旋地轉回龍馭	tm[hd xr[fr di[ty vr[ie hv[wk ls[yp yu[my
天涯共此時	tm[hd ya[di gs[gb ci[vb ui[oc
天涯孤棹還	tm[hd ya[di gu[zp vc[ab hd[bz
天涯哭此時	tm[hd ya[di ku[kq ci[vb ui[oc
天涯若比鄰	tm[hd ya[di ro[cu bi[bb lb[re
天涯霜雪霽寒霄	tm[hd ya[di ul[ya xt[yx ji[yw hj[gd xn[yx
天涯涕淚一身遙	tm[hd ya[di ti[db lw[dm yi[hh uf[pu yc[az
天涯占夢數	tm[hd ya[di vj[bk mg[ax uu[mw
天陰雨溼聲啾啾	tm[hd yb[eo yu[hk ui[do ug[um jq[kh jq[kh
田園寥落干戈後	tm[wu yr[we ln[gx lo[cd gj[hu ge[qp hz[pk
天子非常賜顏色	tm[hd zi[lh fw[su ih[xk ci[bo yj[ly se[db
迢遞三巴路	tn[dz di[bz sj[hh ba[ku lu[zw
迢遞嵩高下	tn[dz di[bz ss[uw gc[wk xx[hb
迢遞送斜暉	tn[dz di[bz ss[bz xp[rd hv[og
岧嶢太華俯鹹京	tn[[ yc[[ td[dd hx[ru fu[rg xm[wh jk[wk
鐵騎突出刀槍鳴	tp[jp qi[md tu[xq iu[ck dc[vp ql[ar mk[kn
鐵衣遠戍辛勤久	tp[jp yi[wy yr[ez uu[wd xb[lu qb[nl jq[xd
聽安萬善吹篳篥歌	tk[kj an[gn wj[hv uj[yk iv[kd bi[vb li[vx ge[kd
停杯投箸不能食	tk[rw bw[ab tz[fj vu[vt bu[eu ng[sb ui[rl
停船暫借問	tk[rw ir[vj zj[io jp[rg wf[mk
聽董大彈胡笳聲兼寄語弄房給事	tk[kj ds[cp da[hr dj[gb hu[go jx[vl ug[um jm[bh ji[gd yu[yw ns[wc fh[hf gw[sr ui[hk
停舫臨孤驛	tk[rw fh[vf lb[uv gu[zp yi[my
聽其音	tk[kj qi[cb yb[lo
聽蜀僧浚彈琴	tk[kj uu[sb sg[rb jy[ds tj[gb qb[wr
聽箏	tk[kj vg[vd
聽鍾未眠客	tk[kj vs[jv ww[ha mm[mm ke[gw
汀洲無浪復無煙	tk[dd vz[dd wu[ee lh[dl fu[ro wu[ee yj[hw
同從弟南齋玩月憶山陰崔少府	ts[kh cs[rr di[bg nj[uk vd[we wj[we yt[ke yi[xv uj[uk yb[eo cv[uv uc[xp fu[gr
同居長幹裡	ts[kh ju[ug ih[ph gj[hu li[ot
銅爐華燭燭增輝	ts[jk lu[hh hx[ru vu[hi vu[hi zg[tb hv[xg
同輦隨君侍君側	ts[kh nm[ei sv[eu jy[xk ui[rt jy[xk ce[rb
銅雀春深鎖二喬	ts[jk qt[xv iy[so uf[dg so[jx er[hh qn[pp
通神明	ts[sz uf[uo mk[oo
同時輩流多上道	ts[kh ui[oc bw[fi lq[dw do[xx uh[bh dc[bz
同是長幹人	ts[kh ui[op ih[ph gj[hu rf[pd
同是宦遊人	ts[kh ui[op hr[gk yz[df rf[pd
同是天涯淪落人	ts[kh ui[op tm[hd ya[di ly[dr lo[cd rf[pd
同題仙遊觀	ts[kh ti[oy xm[ru yz[df gr[yj
同心與我違	ts[kh xb[dv yu[hv wo[pf ww[wz
同穴窅冥何所望	ts[kh xt[gb yc[[ mk[go he[rk so[pj wh[ww
童顏若可駐	ts[lo yj[ly ro[cu ke[dk vu[md
同殷仲文之古樹	ts[kh yb[pj vs[rv wf[wi vi[dv gu[uk uu[ay
童稚開荊扉	ts[lo vi[hv kd[hc jk[cd fw[hf
頭上何所有	tz[dd uh[bh he[rk so[pj yz[uo
投詩贈汨羅	tz[fj ui[yt zg[bb mi[do lo[sx
徒此挹清芬	tu[rz ci[vb yi[fk qk[df ff[cf
塗改清廟生民詩	tu[dr gd[kw qk[df mn[gy ug[pf mb[kv ui[yt
徒勞恨費聲	tu[rz lc[cl hf[xg fw[fb ug[um
徒令上將揮神筆	tu[rz lk[rd uh[bh jl[dx hv[fg uf[uo bi[vm
塗窮反遭俗眼白	tu[dr qs[xl fj[py zc[hz su[rb yj[mg bd[po
突兀壓神州	tu[xq wu[he ya[it uf[uo vz[dp
徒言樹桃李	tu[rz yj[we uu[ay tc[av li[az
蛻其皮也	tv[ib qi[cb pi[vp ye[vu
晚次鄂州	wj[od ci[dd ee[ke vz[dp
萬方多難此登臨	wj[hv fh[dw do[xx nj[yv ci[vb dg[dd lb[uv
晚風吹行舟	wj[od fg[ji iv[kd xk[rh vz[pk
萬夫莫開	wj[hv fu[er mo[co kd[hc
萬古青濛濛	wj[hv gu[uk qk[fo mg[ch mg[ch
萬古惟留楚客悲	wj[hv gu[uk ww[xv lq[pt iu[ap ke[gw bw[fx
萬古雲霄一羽毛	wj[hv gu[uk yy[es xn[yx yi[hh yu[xx mc[sv
萬國衣冠拜冕旒	wj[hv go[ww yi[wy gr[ge bd[fh mm[od lq[fr
萬壑樹參天	wj[hv he[bt uu[ay cj[sd tm[hd
萬戶搗衣聲	wj[hv hu[du dc[fn yi[wy ug[um
晚家南山陲	wj[od jx[gu nj[uk uj[uk iv[ei
晚見雁行頻	wj[od jm[ke yj[ir hh[rh pb[vy
萬徑人蹤滅	wj[hv jk[rs rf[pd zs[zg mp[hh
萬籟百泉相與秋	wj[hv ld[vh bd[eo qr[bu xl[am yu[hv qq[hh
萬籟此俱寂	wj[hv ld[vh ci[vb ju[rj ji[gu
晚來天欲雪	wj[od ld[hm tm[hd yu[bd xt[yx
萬里悲秋常作客	wj[hv li[ot bw[fx qq[hh ih[xk zo[rv ke[gw
萬里浮雲陰且晴	wj[hv li[ot fu[da yy[es yb[eo qp[ke qk[of
萬里歸心對月明	wj[hv li[ot gv[ux xb[dv dv[yc yt[ke mk[oo
萬里寒光生積雪	wj[hv li[ot hj[gd gl[xe ug[pf ji[hk xt[yx
萬里黃河繞黑山	wj[hv li[ot hl[gy he[dk rc[sq hw[sd uj[uk
萬里禽獸皆遮羅	wj[hv li[ot qb[rw uz[bh jp[bb ve[gz lo[sx
萬里送行舟	wj[hv li[ot ss[bz xk[rh vz[pk
萬里眼中明	wj[hv li[ot yj[mg vs[ku mk[oo
萬里雲羅一雁飛	wj[hv li[ot yy[es lo[sx yi[hh yj[ir fw[vp
晚年惟好靜	wj[od nm[rn ww[xv hc[nz jk[fd
萬牛回首丘山重	wj[hv nq[pf hv[wk uz[be qq[jh uj[uk vs[ph
萬頃江田一鷺飛	wj[hv qk[by jl[dg tm[wu yi[hh lu[zn fw[vp
